order_item_id,order_id,product_id,quantity,unit_price
1,1,216,4,13600
2,1,34,1,87000
3,1,187,1,93000
4,1,112,1,225000
5,2,214,1,64000
6,2,182,1,210600
7,3,298,1,22400
8,3,171,1,91800
9,4,97,1,93000
10,4,295,3,51000
11,5,178,1,8000
12,5,268,1,83600
13,6,144,1,39000
14,6,122,2,54200
15,7,281,1,178600
16,8,9,1,55000
17,8,116,1,16000
18,8,268,1,74800
19,8,110,2,136000
20,9,59,1,36100
21,9,210,5,92700
22,9,51,1,122600
23,9,174,1,52200
24,10,208,2,72200
25,10,241,1,137700
26,11,217,1,102000
27,11,203,1,101600
28,11,261,1,43200
29,12,2,2,154800
30,12,131,3,82000
31,12,182,1,222300
32,12,278,1,53000
33,12,222,3,168000
34,13,247,2,46800
35,13,54,1,30600
36,13,271,2,108000
37,14,64,1,54000
38,14,288,2,68400
39,14,127,1,127300
40,15,49,2,16200
41,15,186,2,39900
42,16,62,1,245700
43,16,1,1,68000
44,16,142,1,172600
45,17,139,1,41800
46,17,118,5,33000
47,18,83,2,156000
48,19,166,1,30000
49,19,295,2,51000
50,19,200,2,125000
51,19,211,1,67000
52,19,19,1,45900
53,19,93,1,176000
54,20,112,1,212500
55,20,58,1,7600
56,20,291,2,226100
57,21,256,2,17100
58,21,204,2,6600
59,22,110,1,136000
60,22,100,3,42800
61,22,4,2,43000
62,22,94,1,69000
63,23,145,1,30400
64,23,225,1,5000
65,23,142,1,162400
66,23,281,2,178600
67,24,194,3,72200
68,25,192,1,325800
69,25,36,1,32300
70,25,248,5,105000
71,25,189,3,31000
72,25,126,1,13000
73,25,63,1,106000
74,26,243,3,163000
75,27,169,1,39600
76,27,76,1,10400
77,27,103,2,31400
78,28,110,1,136000
79,29,145,4,28800
80,29,275,2,55200
81,30,261,1,45600
82,30,234,1,10200
83,30,88,4,118800
84,30,285,1,18000
85,30,126,1,12400
86,31,33,1,31400
87,32,85,1,8500
88,33,226,3,26600
89,33,197,1,124400
90,33,205,2,28000
91,33,181,1,45600
92,33,123,3,132000
93,34,264,1,72000
94,34,233,1,19000
95,34,62,1,259400
96,34,287,1,62100
97,35,195,1,40500
98,35,143,5,99000
99,35,47,1,16000
100,35,15,1,65700
101,35,116,1,16000
102,36,67,2,72000
103,36,165,5,5000
104,36,41,2,35200
105,36,110,1,108800
106,36,53,1,32000
107,37,45,2,54000
108,38,201,2,69300
109,38,175,1,37400
110,39,98,1,107000
111,39,100,2,45000
112,39,20,1,83000
113,39,214,4,60800
114,39,278,2,45000
115,39,280,2,109800
116,40,279,1,22500
117,41,28,2,102600
118,41,14,1,49000
119,41,255,1,13500
120,42,171,1,102000
121,42,183,1,110700
122,43,116,1,14400
123,43,245,1,61200
124,44,159,1,16800
125,44,114,2,39100
126,44,139,1,44000
127,44,247,4,52200
128,45,131,1,77900
129,46,213,1,119700
130,46,258,4,90100
131,46,61,2,30600
132,47,88,1,125000
133,47,159,1,21000
134,48,1,1,64600
135,48,100,1,42800
136,48,165,1,4800
137,49,64,3,48600
138,49,141,1,64000
139,50,152,1,166200
140,50,161,4,172000
141,50,267,1,67500
142,51,49,3,14400
143,51,158,1,35200
144,52,163,1,128700
145,53,129,1,27000
146,53,3,1,22000
147,54,84,1,94000
148,54,55,1,23000
149,55,253,1,18400
150,55,6,1,36000
151,56,138,1,103500
152,57,239,2,46000
153,58,93,1,167200
154,58,294,1,16200
155,59,232,3,162400
156,59,172,4,328000
157,59,15,1,73000
158,59,85,1,8500
159,59,247,1,44000
160,59,253,1,23000
161,60,76,2,12400
162,60,102,1,226400
163,61,254,1,47700
164,62,264,1,57600
165,62,130,1,141600
166,62,109,2,8000
167,63,168,2,18900
168,63,294,2,15200
169,64,107,1,108000
170,64,76,1,11000
171,65,31,1,41400
172,66,224,1,82800
173,67,33,5,31400
174,67,294,2,19000
175,68,194,2,76500
176,69,33,5,26400
177,69,53,1,32000
178,69,285,1,16200
179,70,32,1,186300
180,70,161,1,146200
181,70,154,1,67000
182,71,34,3,87000
183,71,294,1,18000
184,71,235,1,21000
185,71,77,1,131400
