order_id,customer_id,order_date,payment_method,order_status
1,1121,2026-05-18,간편결제,배송중
2,993,2026-02-01,신용카드,환불
3,261,2025-05-08,신용카드,배송완료
4,783,2026-02-18,신용카드,결제완료
5,292,2025-06-20,신용카드,배송완료
6,212,2025-05-31,간편결제,배송완료
7,658,2025-07-04,신용카드,배송중
8,1170,2025-06-22,간편결제,배송중
9,89,2026-03-26,신용카드,배송완료
10,306,2025-12-07,신용카드,배송완료
11,1061,2025-11-11,계좌이체,배송완료
12,732,2025-05-08,간편결제,배송완료
13,291,2025-05-13,신용카드,배송완료
14,90,2026-04-10,신용카드,배송완료
15,830,2026-01-14,간편결제,배송중
16,1131,2025-01-13,신용카드,배송완료
17,197,2025-02-13,신용카드,배송준비
18,936,2025-10-30,신용카드,배송완료
19,1019,2025-06-10,휴대폰결제,배송완료
20,1148,2025-02-26,신용카드,배송중
21,393,2026-02-22,신용카드,배송완료
22,334,2025-12-20,무통장입금,취소
23,353,2025-04-14,신용카드,배송완료
24,320,2026-07-16,계좌이체,배송완료
25,805,2026-06-30,간편결제,배송완료
26,855,2026-01-21,신용카드,배송완료
27,468,2025-04-06,휴대폰결제,배송완료
28,958,2025-12-04,무통장입금,배송완료
29,578,2025-11-09,간편결제,배송완료
30,456,2025-04-23,간편결제,배송완료
31,416,2025-05-29,신용카드,배송완료
32,4,2025-08-01,간편결제,배송완료
33,985,2025-12-18,간편결제,배송완료
34,1033,2026-07-26,신용카드,결제완료
35,1179,2025-01-13,계좌이체,배송완료
36,1167,2025-12-29,간편결제,배송완료
37,370,2025-09-22,간편결제,배송완료
38,634,2025-11-21,신용카드,배송완료
39,1178,2025-02-22,간편결제,배송완료
40,829,2025-10-30,계좌이체,배송완료
41,534,2025-11-24,신용카드,배송완료
42,354,2026-04-07,간편결제,배송완료
43,827,2025-03-13,신용카드,배송준비
44,691,2025-05-17,간편결제,배송완료
45,456,2025-11-22,간편결제,배송완료
46,772,2025-03-02,간편결제,배송완료
47,167,2025-03-13,신용카드,배송완료
48,367,2026-07-27,무통장입금,배송준비
49,78,2025-11-26,휴대폰결제,배송준비
50,316,2025-10-18,간편결제,배송완료
51,578,2026-02-03,계좌이체,배송완료
52,943,2025-07-13,신용카드,배송완료
53,713,2025-04-30,계좌이체,배송완료
54,652,2025-04-19,계좌이체,배송완료
55,93,2025-08-13,간편결제,배송완료
56,70,2026-01-18,신용카드,배송완료
57,347,2025-11-17,신용카드,배송완료
58,43,2025-04-09,신용카드,배송완료
59,136,2025-11-11,신용카드,배송완료
60,189,2025-03-03,간편결제,배송완료
61,836,2026-06-22,신용카드,배송완료
62,745,2025-12-12,휴대폰결제,배송완료
63,909,2025-12-01,계좌이체,배송완료
64,895,2025-08-29,신용카드,배송완료
65,185,2026-05-01,신용카드,배송완료
66,977,2026-05-25,휴대폰결제,배송완료
67,225,2025-01-12,신용카드,배송완료
68,732,2025-04-15,계좌이체,배송완료
69,890,2026-07-06,계좌이체,배송완료
70,854,2025-01-11,신용카드,배송완료
71,786,2025-06-20,간편결제,취소
72,357,2025-01-29,간편결제,배송완료
73,704,2026-02-26,신용카드,배송완료
74,1170,2026-04-16,휴대폰결제,배송완료
75,1008,2026-01-15,무통장입금,배송완료
76,287,2025-01-17,계좌이체,배송완료
77,633,2025-09-21,휴대폰결제,환불
78,154,2026-02-01,간편결제,배송완료
79,1101,2025-02-21,신용카드,배송완료
80,627,2025-04-21,계좌이체,배송완료
81,399,2026-05-11,간편결제,배송완료
82,474,2025-08-12,계좌이체,배송완료
83,363,2026-02-13,신용카드,배송완료
84,16,2026-01-09,신용카드,배송완료
85,137,2026-04-07,간편결제,배송완료
86,335,2025-03-04,계좌이체,배송완료
87,400,2026-07-10,휴대폰결제,취소
88,546,2025-03-04,계좌이체,취소
89,55,2026-07-16,계좌이체,배송완료
90,85,2025-04-28,간편결제,취소
91,345,2025-11-16,간편결제,배송완료
92,649,2025-09-14,계좌이체,배송완료
93,120,2025-02-07,휴대폰결제,배송완료
94,16,2025-04-19,신용카드,배송완료
95,424,2025-09-21,계좌이체,배송완료
96,438,2025-03-25,휴대폰결제,배송완료
97,897,2025-12-05,계좌이체,배송완료
98,751,2025-05-23,신용카드,배송완료
99,772,2025-09-03,간편결제,배송중
100,145,2025-07-16,계좌이체,배송완료
101,1137,2025-01-04,간편결제,배송완료
102,587,2026-05-15,간편결제,배송완료
103,951,2025-04-27,신용카드,배송완료
104,111,2025-11-28,신용카드,배송완료
105,360,2025-04-29,신용카드,배송완료
106,670,2025-10-24,신용카드,배송완료
107,260,2026-05-08,신용카드,배송완료
108,1185,2025-05-21,휴대폰결제,배송완료
109,414,2025-06-01,신용카드,배송완료
110,497,2026-05-28,신용카드,배송완료
111,923,2025-11-17,신용카드,배송완료
112,653,2025-07-09,신용카드,배송완료
113,232,2025-07-22,계좌이체,배송완료
114,308,2025-12-13,신용카드,배송완료
115,485,2025-11-05,신용카드,배송완료
116,811,2026-07-13,신용카드,배송완료
117,608,2025-08-18,간편결제,배송완료
118,864,2026-03-21,신용카드,배송완료
119,550,2026-01-11,신용카드,배송완료
120,209,2025-04-23,간편결제,배송완료
121,525,2026-06-03,신용카드,배송완료
122,410,2026-03-06,신용카드,배송완료
123,875,2025-05-22,신용카드,배송완료
124,877,2026-06-13,신용카드,배송완료
125,550,2026-03-08,휴대폰결제,취소
126,250,2025-01-14,휴대폰결제,배송완료
127,394,2026-03-12,신용카드,배송완료
128,1014,2025-01-15,신용카드,배송완료
129,1064,2026-04-13,휴대폰결제,배송완료
130,465,2025-08-18,간편결제,배송완료
131,785,2026-04-16,신용카드,배송완료
132,439,2026-03-25,간편결제,배송완료
133,1168,2025-10-13,간편결제,배송완료
134,872,2025-10-09,계좌이체,배송완료
135,457,2025-07-18,신용카드,배송완료
136,629,2026-03-21,신용카드,배송완료
137,1035,2025-09-19,간편결제,취소
138,534,2025-11-14,신용카드,배송완료
139,891,2026-06-12,신용카드,배송완료
140,1006,2026-05-30,신용카드,배송완료
141,959,2026-02-18,신용카드,배송완료
142,291,2025-04-11,신용카드,배송완료
143,1067,2025-01-18,신용카드,배송완료
144,1148,2025-07-08,간편결제,배송완료
145,142,2025-07-08,계좌이체,환불
146,758,2025-07-16,계좌이체,배송중
147,1105,2025-12-30,간편결제,배송완료
148,34,2025-12-08,신용카드,배송완료
149,1183,2025-06-06,간편결제,배송완료
150,447,2025-11-03,신용카드,취소
151,1116,2026-03-15,신용카드,배송완료
152,39,2025-05-18,계좌이체,배송완료
153,741,2026-07-16,신용카드,배송중
154,73,2025-09-06,간편결제,배송완료
155,1025,2025-03-19,신용카드,취소
156,837,2026-04-21,무통장입금,배송완료
157,744,2025-04-29,신용카드,환불
158,105,2026-05-26,간편결제,배송완료
159,1194,2025-02-28,계좌이체,배송완료
160,985,2025-10-19,계좌이체,배송완료
161,887,2025-09-14,신용카드,배송완료
162,1036,2026-02-03,간편결제,배송완료
163,1101,2025-08-01,간편결제,배송완료
164,574,2026-05-07,간편결제,취소
165,361,2025-07-31,계좌이체,배송완료
166,1011,2025-01-30,신용카드,취소
167,26,2025-01-05,휴대폰결제,배송중
168,966,2025-04-06,간편결제,배송완료
169,781,2025-12-05,휴대폰결제,배송완료
170,1058,2026-03-09,간편결제,배송완료
171,1131,2025-04-12,신용카드,배송완료
172,605,2025-03-10,신용카드,배송완료
173,384,2025-03-12,휴대폰결제,배송완료
174,92,2025-03-03,신용카드,배송완료
175,859,2026-03-20,신용카드,배송완료
176,268,2025-05-01,신용카드,배송완료
177,1182,2025-02-19,신용카드,배송완료
178,368,2025-04-04,신용카드,배송준비
179,792,2026-04-12,신용카드,배송완료
180,808,2025-05-05,신용카드,배송완료
181,237,2026-01-24,계좌이체,배송완료
182,1091,2026-04-26,무통장입금,배송완료
183,263,2025-04-27,무통장입금,환불
184,330,2025-07-28,간편결제,배송완료
185,738,2025-03-29,간편결제,배송완료
186,871,2025-06-24,신용카드,배송완료
187,96,2025-04-11,간편결제,배송완료
188,164,2025-03-22,간편결제,배송완료
189,1090,2026-07-18,간편결제,결제완료
190,1002,2025-04-27,신용카드,배송완료
191,360,2025-04-04,신용카드,배송완료
192,89,2025-03-07,신용카드,배송완료
193,682,2025-12-26,휴대폰결제,환불
194,977,2026-06-11,간편결제,배송완료
195,154,2026-04-13,간편결제,배송완료
196,878,2025-06-27,신용카드,배송완료
197,839,2025-07-28,휴대폰결제,배송완료
198,928,2026-05-12,신용카드,배송완료
199,894,2026-06-18,휴대폰결제,배송완료
200,1189,2025-05-14,신용카드,배송완료
201,593,2025-02-28,간편결제,배송완료
202,526,2026-06-29,신용카드,배송완료
203,85,2026-06-19,신용카드,배송완료
204,708,2025-10-02,신용카드,배송완료
205,602,2025-01-23,휴대폰결제,배송완료
206,868,2026-01-06,계좌이체,배송완료
207,722,2026-06-24,신용카드,배송완료
208,892,2025-11-21,신용카드,배송완료
209,1061,2025-12-05,신용카드,배송완료
210,438,2026-04-25,간편결제,취소
211,75,2026-07-30,계좌이체,배송준비
212,816,2026-03-02,신용카드,배송완료
213,208,2025-12-08,무통장입금,배송완료
214,197,2025-06-16,신용카드,배송완료
215,1137,2025-06-13,간편결제,배송완료
216,293,2025-09-23,간편결제,배송완료
217,383,2025-08-27,간편결제,배송완료
218,848,2026-07-19,신용카드,배송준비
219,1081,2025-01-15,계좌이체,배송완료
220,1028,2025-06-17,신용카드,배송완료
221,501,2026-05-03,계좌이체,환불
222,320,2025-03-07,간편결제,배송준비
223,1044,2025-05-18,간편결제,취소
224,86,2026-03-15,간편결제,배송완료
225,421,2026-03-16,신용카드,배송완료
226,551,2025-12-08,신용카드,배송완료
227,339,2025-02-07,간편결제,취소
228,875,2025-11-18,신용카드,환불
229,865,2025-09-30,신용카드,배송완료
230,770,2025-08-10,간편결제,배송완료
231,255,2025-07-23,무통장입금,배송완료
232,684,2026-05-10,신용카드,배송완료
233,415,2025-10-11,간편결제,환불
234,452,2026-02-22,신용카드,배송완료
235,222,2025-01-15,신용카드,배송완료
236,1178,2026-02-15,무통장입금,배송완료
237,354,2026-06-17,계좌이체,배송완료
238,562,2025-11-09,간편결제,배송완료
239,107,2025-04-05,신용카드,취소
240,411,2025-03-02,간편결제,배송완료
241,316,2026-03-13,간편결제,배송완료
242,564,2026-04-09,신용카드,배송완료
243,641,2025-09-16,간편결제,배송완료
244,396,2026-07-19,무통장입금,배송완료
245,344,2025-09-23,신용카드,배송완료
246,718,2025-09-09,신용카드,배송완료
247,904,2025-11-09,신용카드,배송완료
248,379,2025-02-01,휴대폰결제,배송완료
249,992,2025-03-28,계좌이체,배송완료
250,691,2025-01-18,계좌이체,취소
251,1009,2025-08-28,신용카드,배송완료
252,465,2025-05-31,신용카드,배송완료
253,682,2026-01-22,신용카드,배송완료
254,285,2025-12-29,신용카드,배송완료
255,955,2025-01-24,신용카드,배송완료
256,626,2025-05-07,간편결제,배송완료
257,242,2026-04-19,간편결제,배송완료
258,832,2026-03-01,신용카드,배송완료
259,941,2025-04-19,무통장입금,배송완료
260,653,2026-02-17,간편결제,배송완료
261,910,2025-02-11,간편결제,배송완료
262,320,2026-05-15,신용카드,배송완료
263,960,2025-11-29,휴대폰결제,배송완료
264,459,2026-02-13,간편결제,배송완료
265,124,2025-12-09,간편결제,배송완료
266,755,2026-04-18,계좌이체,배송완료
267,151,2025-09-12,신용카드,배송완료
268,368,2025-09-22,신용카드,배송완료
269,673,2026-04-08,신용카드,배송완료
270,636,2025-03-23,신용카드,취소
271,283,2025-11-01,신용카드,취소
272,1079,2025-02-20,신용카드,배송완료
273,890,2026-04-03,휴대폰결제,배송완료
274,965,2026-02-21,간편결제,배송완료
275,206,2026-05-14,신용카드,배송완료
276,729,2026-05-01,신용카드,배송완료
277,298,2025-11-09,휴대폰결제,배송완료
278,1133,2025-12-28,계좌이체,배송완료
279,216,2026-04-13,신용카드,취소
280,208,2026-05-13,신용카드,배송완료
281,550,2025-11-19,간편결제,취소
282,828,2025-12-17,간편결제,배송완료
283,1018,2026-06-17,간편결제,취소
284,307,2025-03-18,휴대폰결제,환불
285,710,2025-12-03,무통장입금,환불
286,158,2026-03-03,간편결제,배송완료
287,1178,2025-09-08,신용카드,배송완료
288,128,2026-05-26,간편결제,배송완료
289,975,2025-11-09,신용카드,배송완료
290,163,2025-01-19,신용카드,배송완료
291,495,2025-06-04,간편결제,배송완료
292,348,2026-02-03,신용카드,배송완료
293,447,2026-07-06,간편결제,배송완료
294,632,2025-03-14,간편결제,배송완료
295,3,2025-09-13,간편결제,배송완료
296,1049,2025-02-13,무통장입금,배송완료
297,90,2025-12-09,신용카드,배송완료
298,989,2026-02-28,계좌이체,배송완료
299,362,2026-02-25,신용카드,배송완료
300,245,2026-02-03,계좌이체,환불
301,1119,2026-06-09,계좌이체,배송완료
302,1067,2025-11-28,휴대폰결제,배송완료
303,2,2026-07-14,신용카드,배송완료
304,322,2025-11-19,간편결제,결제완료
305,126,2025-07-11,신용카드,배송완료
306,220,2025-07-21,계좌이체,배송완료
307,496,2025-10-29,신용카드,배송완료
308,163,2025-02-06,무통장입금,배송완료
309,1153,2026-02-15,간편결제,배송완료
310,941,2025-02-21,신용카드,배송완료
311,975,2025-07-12,신용카드,환불
312,564,2025-12-22,간편결제,배송완료
313,334,2025-11-10,신용카드,배송완료
314,806,2026-04-25,신용카드,배송완료
315,453,2025-04-21,간편결제,배송준비
316,26,2026-02-07,간편결제,배송완료
317,53,2026-05-29,무통장입금,배송완료
318,109,2026-03-17,간편결제,배송완료
319,77,2026-06-26,계좌이체,취소
320,130,2025-08-24,신용카드,배송완료
321,465,2025-07-30,간편결제,배송완료
322,474,2025-10-24,신용카드,환불
323,500,2025-11-09,계좌이체,배송완료
